delta,interval_type,date_time (start),date_time (end)
24.0,high,2017-04-06 17:05:26+00:00,2017-04-07 17:05:26+00:00
24.0,high,2017-04-07 17:05:26+00:00,2017-04-08 17:05:26+00:00
24.0,high,2017-04-08 17:05:26+00:00,2017-04-09 17:05:26+00:00
168.0,base,2017-04-09 17:05:26+00:00,2017-04-16 17:05:26+00:00
168.0,base,2017-04-16 17:05:26+00:00,2017-04-23 17:05:26+00:00
168.0,base,2017-04-23 17:05:26+00:00,2017-04-30 17:05:26+00:00
168.0,base,2017-04-30 17:05:26+00:00,2017-05-07 17:05:26+00:00
336.0,low,2017-05-07 17:05:26+00:00,2017-05-21 17:05:26+00:00
168.0,base,2017-05-21 17:05:26+00:00,2017-05-28 17:05:26+00:00
168.0,base,2017-05-28 17:05:26+00:00,2017-06-04 17:05:26+00:00
24.0,high,2017-06-04 17:05:26+00:00,2017-06-05 17:05:26+00:00
168.0,base,2017-06-05 17:05:26+00:00,2017-06-12 17:05:26+00:00
168.0,base,2017-06-12 17:05:26+00:00,2017-06-19 17:05:26+00:00
336.0,low,2017-06-19 17:05:26+00:00,2017-07-03 17:05:26+00:00
336.0,low,2017-07-03 17:05:26+00:00,2017-07-17 17:05:26+00:00
168.0,base,2017-07-17 17:05:26+00:00,2017-07-24 17:05:26+00:00
168.0,base,2017-07-24 17:05:26+00:00,2017-07-31 17:05:26+00:00
168.0,base,2017-07-31 17:05:26+00:00,2017-08-07 17:05:26+00:00
168.0,base,2017-08-07 17:05:26+00:00,2017-08-14 17:05:26+00:00
336.0,low,2017-08-14 17:05:26+00:00,2017-08-28 17:05:26+00:00
168.0,base,2017-08-28 17:05:26+00:00,2017-09-04 17:05:26+00:00
168.0,base,2017-09-04 17:05:26+00:00,2017-09-11 17:05:26+00:00
336.0,low,2017-09-11 17:05:26+00:00,2017-09-25 17:05:26+00:00
24.0,high,2017-09-25 17:05:26+00:00,2017-09-26 17:05:26+00:00
24.0,high,2017-09-26 17:05:26+00:00,2017-09-27 17:05:26+00:00
24.0,high,2017-09-27 17:05:26+00:00,2017-09-28 17:05:26+00:00
168.0,base,2017-09-28 17:05:26+00:00,2017-10-05 17:05:26+00:00
168.0,base,2017-10-05 17:05:26+00:00,2017-10-12 17:05:26+00:00
168.0,base,2017-10-12 17:05:26+00:00,2017-10-19 17:05:26+00:00
168.0,base,2017-10-19 17:05:26+00:00,2017-10-26 17:05:26+00:00
168.0,base,2017-10-26 17:05:26+00:00,2017-11-02 17:05:26+00:00
168.0,base,2017-11-02 17:05:26+00:00,2017-11-09 17:05:26+00:00
336.0,low,2017-11-09 17:05:26+00:00,2017-11-23 17:05:26+00:00
168.0,base,2017-11-23 17:05:26+00:00,2017-11-30 17:05:26+00:00
168.0,base,2017-11-30 17:05:26+00:00,2017-12-07 17:05:26+00:00
336.0,low,2017-12-07 17:05:26+00:00,2017-12-21 17:05:26+00:00
336.0,low,2017-12-21 17:05:26+00:00,2018-01-04 17:05:26+00:00
336.0,low,2018-01-04 17:05:26+00:00,2018-01-18 17:05:26+00:00
336.0,low,2018-01-18 17:05:26+00:00,2018-02-01 17:05:26+00:00
336.0,low,2018-02-01 17:05:26+00:00,2018-02-15 17:05:26+00:00
336.0,low,2018-02-15 17:05:26+00:00,2018-03-01 17:05:26+00:00
336.0,low,2018-03-01 17:05:26+00:00,2018-03-15 17:05:26+00:00
336.0,low,2018-03-15 17:05:26+00:00,2018-03-29 17:05:26+00:00
336.0,low,2018-03-29 17:05:26+00:00,2018-04-12 17:05:26+00:00
336.0,low,2018-04-12 17:05:26+00:00,2018-04-26 17:05:26+00:00
336.0,low,2018-04-26 17:05:26+00:00,2018-05-10 17:05:26+00:00
168.0,base,2018-05-10 17:05:26+00:00,2018-05-17 17:05:26+00:00
336.0,low,2018-05-17 17:05:26+00:00,2018-05-31 17:05:26+00:00
336.0,low,2018-05-31 17:05:26+00:00,2018-06-14 17:05:26+00:00
336.0,low,2018-06-14 17:05:26+00:00,2018-06-28 17:05:26+00:00
336.0,low,2018-06-28 17:05:26+00:00,2018-07-12 17:05:26+00:00
336.0,low,2018-07-12 17:05:26+00:00,2018-07-26 17:05:26+00:00
336.0,low,2018-07-26 17:05:26+00:00,2018-08-09 17:05:26+00:00
336.0,low,2018-08-09 17:05:26+00:00,2018-08-23 17:05:26+00:00
336.0,low,2018-08-23 17:05:26+00:00,2018-09-06 17:05:26+00:00
336.0,low,2018-09-06 17:05:26+00:00,2018-09-20 17:05:26+00:00
336.0,low,2018-09-20 17:05:26+00:00,2018-10-04 17:05:26+00:00
336.0,low,2018-10-04 17:05:26+00:00,2018-10-18 17:05:26+00:00
336.0,low,2018-10-18 17:05:26+00:00,2018-11-01 17:05:26+00:00
336.0,low,2018-11-01 17:05:26+00:00,2018-11-15 17:05:26+00:00
336.0,low,2018-11-15 17:05:26+00:00,2018-11-29 17:05:26+00:00
336.0,low,2018-11-29 17:05:26+00:00,2018-12-13 17:05:26+00:00
336.0,low,2018-12-13 17:05:26+00:00,2018-12-27 17:05:26+00:00
336.0,low,2018-12-27 17:05:26+00:00,2019-01-10 17:05:26+00:00
336.0,low,2019-01-10 17:05:26+00:00,2019-01-24 17:05:26+00:00
336.0,low,2019-01-24 17:05:26+00:00,2019-02-07 17:05:26+00:00
336.0,low,2019-02-07 17:05:26+00:00,2019-02-21 17:05:26+00:00
336.0,low,2019-02-21 17:05:26+00:00,2019-03-07 17:05:26+00:00
336.0,low,2019-03-07 17:05:26+00:00,2019-03-21 17:05:26+00:00
336.0,low,2019-03-21 17:05:26+00:00,2019-04-04 17:05:26+00:00
336.0,low,2019-04-04 17:05:26+00:00,2019-04-18 17:05:26+00:00
336.0,low,2019-04-18 17:05:26+00:00,2019-05-02 17:05:26+00:00
336.0,low,2019-05-02 17:05:26+00:00,2019-05-16 17:05:26+00:00
336.0,low,2019-05-16 17:05:26+00:00,2019-05-30 17:05:26+00:00
336.0,low,2019-05-30 17:05:26+00:00,2019-06-13 17:05:26+00:00
336.0,low,2019-06-13 17:05:26+00:00,2019-06-27 17:05:26+00:00
336.0,low,2019-06-27 17:05:26+00:00,2019-07-11 17:05:26+00:00
336.0,low,2019-07-11 17:05:26+00:00,2019-07-25 17:05:26+00:00
336.0,low,2019-07-25 17:05:26+00:00,2019-08-08 17:05:26+00:00
168.0,base,2019-08-08 17:05:26+00:00,2019-08-15 17:05:26+00:00
336.0,low,2019-08-15 17:05:26+00:00,2019-08-29 17:05:26+00:00
336.0,low,2019-08-29 17:05:26+00:00,2019-09-12 17:05:26+00:00
336.0,low,2019-09-12 17:05:26+00:00,2019-09-26 17:05:26+00:00
336.0,low,2019-09-26 17:05:26+00:00,2019-10-10 17:05:26+00:00
336.0,low,2019-10-10 17:05:26+00:00,2019-10-24 17:05:26+00:00
336.0,low,2019-10-24 17:05:26+00:00,2019-11-07 17:05:26+00:00
336.0,low,2019-11-07 17:05:26+00:00,2019-11-21 17:05:26+00:00
336.0,low,2019-11-21 17:05:26+00:00,2019-12-05 17:05:26+00:00
336.0,low,2019-12-05 17:05:26+00:00,2019-12-19 17:05:26+00:00
336.0,low,2019-12-19 17:05:26+00:00,2020-01-02 17:05:26+00:00
336.0,low,2020-01-02 17:05:26+00:00,2020-01-16 17:05:26+00:00
336.0,low,2020-01-16 17:05:26+00:00,2020-01-30 17:05:26+00:00
336.0,low,2020-01-30 17:05:26+00:00,2020-02-13 17:05:26+00:00
336.0,low,2020-02-13 17:05:26+00:00,2020-02-27 17:05:26+00:00
336.0,low,2020-02-27 17:05:26+00:00,2020-03-12 17:05:26+00:00
336.0,low,2020-03-12 17:05:26+00:00,2020-03-26 17:05:26+00:00
168.0,base,2020-03-26 17:05:26+00:00,2020-04-02 17:05:26+00:00
168.0,base,2020-04-02 17:05:26+00:00,2020-04-09 17:05:26+00:00
168.0,base,2020-04-09 17:05:26+00:00,2020-04-16 17:05:26+00:00
336.0,low,2020-04-16 17:05:26+00:00,2020-04-30 17:05:26+00:00
168.0,base,2020-04-30 17:05:26+00:00,2020-05-07 17:05:26+00:00
336.0,low,2020-05-07 17:05:26+00:00,2020-05-21 17:05:26+00:00
336.0,low,2020-05-21 17:05:26+00:00,2020-06-04 17:05:26+00:00
336.0,low,2020-06-04 17:05:26+00:00,2020-06-18 17:05:26+00:00
336.0,low,2020-06-18 17:05:26+00:00,2020-07-02 17:05:26+00:00
336.0,low,2020-07-02 17:05:26+00:00,2020-07-16 17:05:26+00:00
336.0,low,2020-07-16 17:05:26+00:00,2020-07-30 17:05:26+00:00
336.0,low,2020-07-30 17:05:26+00:00,2020-08-13 17:05:26+00:00
336.0,low,2020-08-13 17:05:26+00:00,2020-08-27 17:05:26+00:00
336.0,low,2020-08-27 17:05:26+00:00,2020-09-10 17:05:26+00:00
336.0,low,2020-09-10 17:05:26+00:00,2020-09-24 17:05:26+00:00
336.0,low,2020-09-24 17:05:26+00:00,2020-10-08 17:05:26+00:00
336.0,low,2020-10-08 17:05:26+00:00,2020-10-22 17:05:26+00:00
336.0,low,2020-10-22 17:05:26+00:00,2020-11-05 17:05:26+00:00
336.0,low,2020-11-05 17:05:26+00:00,2020-11-19 17:05:26+00:00
336.0,low,2020-11-19 17:05:26+00:00,2020-12-03 17:05:26+00:00
336.0,low,2020-12-03 17:05:26+00:00,2020-12-17 17:05:26+00:00
336.0,low,2020-12-17 17:05:26+00:00,2020-12-31 17:05:26+00:00
336.0,low,2020-12-31 17:05:26+00:00,2021-01-14 17:05:26+00:00
336.0,low,2021-01-14 17:05:26+00:00,2021-01-28 17:05:26+00:00
336.0,low,2021-01-28 17:05:26+00:00,2021-02-11 17:05:26+00:00
336.0,low,2021-02-11 17:05:26+00:00,2021-02-25 17:05:26+00:00
336.0,low,2021-02-25 17:05:26+00:00,2021-03-11 17:05:26+00:00
336.0,low,2021-03-11 17:05:26+00:00,2021-03-25 17:05:26+00:00
336.0,low,2021-03-25 17:05:26+00:00,2021-04-08 17:05:26+00:00
336.0,low,2021-04-08 17:05:26+00:00,2021-04-22 17:05:26+00:00
336.0,low,2021-04-22 17:05:26+00:00,2021-05-06 17:05:26+00:00
336.0,low,2021-05-06 17:05:26+00:00,2021-05-20 17:05:26+00:00
336.0,low,2021-05-20 17:05:26+00:00,2021-06-03 17:05:26+00:00
336.0,low,2021-06-03 17:05:26+00:00,2021-06-17 17:05:26+00:00
336.0,low,2021-06-17 17:05:26+00:00,2021-07-01 17:05:26+00:00
336.0,low,2021-07-01 17:05:26+00:00,2021-07-15 17:05:26+00:00
336.0,low,2021-07-15 17:05:26+00:00,2021-07-29 17:05:26+00:00
336.0,low,2021-07-29 17:05:26+00:00,2021-08-12 17:05:26+00:00
336.0,low,2021-08-12 17:05:26+00:00,2021-08-26 17:05:26+00:00
336.0,low,2021-08-26 17:05:26+00:00,2021-09-09 17:05:26+00:00
336.0,low,2021-09-09 17:05:26+00:00,2021-09-23 17:05:26+00:00
336.0,low,2021-09-23 17:05:26+00:00,2021-10-07 17:05:26+00:00
336.0,low,2021-10-07 17:05:26+00:00,2021-10-21 17:05:26+00:00
336.0,low,2021-10-21 17:05:26+00:00,2021-11-04 17:05:26+00:00
336.0,low,2021-11-04 17:05:26+00:00,2021-11-18 17:05:26+00:00
336.0,low,2021-11-18 17:05:26+00:00,2021-12-02 17:05:26+00:00
336.0,low,2021-12-02 17:05:26+00:00,2021-12-16 17:05:26+00:00
336.0,low,2021-12-16 17:05:26+00:00,2021-12-30 17:05:26+00:00
336.0,low,2021-12-30 17:05:26+00:00,2022-01-13 17:05:26+00:00
336.0,low,2022-01-13 17:05:26+00:00,2022-01-27 17:05:26+00:00
336.0,low,2022-01-27 17:05:26+00:00,2022-02-10 17:05:26+00:00
336.0,low,2022-02-10 17:05:26+00:00,2022-02-24 17:05:26+00:00
336.0,low,2022-02-24 17:05:26+00:00,2022-03-10 17:05:26+00:00
336.0,low,2022-03-10 17:05:26+00:00,2022-03-24 17:05:26+00:00
336.0,low,2022-03-24 17:05:26+00:00,2022-04-07 17:05:26+00:00
168.0,base,2022-04-07 17:05:26+00:00,2022-04-14 17:05:26+00:00
336.0,low,2022-04-14 17:05:26+00:00,2022-04-28 17:05:26+00:00
336.0,low,2022-04-28 17:05:26+00:00,2022-05-12 17:05:26+00:00
336.0,low,2022-05-12 17:05:26+00:00,2022-05-26 17:05:26+00:00
336.0,low,2022-05-26 17:05:26+00:00,2022-06-09 17:05:26+00:00
336.0,low,2022-06-09 17:05:26+00:00,2022-06-23 17:05:26+00:00
336.0,low,2022-06-23 17:05:26+00:00,2022-07-07 17:05:26+00:00
336.0,low,2022-07-07 17:05:26+00:00,2022-07-21 17:05:26+00:00
336.0,low,2022-07-21 17:05:26+00:00,2022-08-04 17:05:26+00:00
336.0,low,2022-08-04 17:05:26+00:00,2022-08-18 17:05:26+00:00
336.0,low,2022-08-18 17:05:26+00:00,2022-09-01 17:05:26+00:00
168.0,base,2022-09-01 17:05:26+00:00,2022-09-08 17:05:26+00:00
168.0,base,2022-09-08 17:05:26+00:00,2022-09-15 17:05:26+00:00
168.0,base,2022-09-15 17:05:26+00:00,2022-09-22 17:05:26+00:00
24.0,high,2022-09-22 17:05:26+00:00,2022-09-23 17:05:26+00:00
24.0,high,2022-09-23 17:05:26+00:00,2022-09-24 17:05:26+00:00
24.0,high,2022-09-24 17:05:26+00:00,2022-09-25 17:05:26+00:00
24.0,high,2022-09-25 17:05:26+00:00,2022-09-26 17:05:26+00:00
24.0,high,2022-09-26 17:05:26+00:00,2022-09-27 17:05:26+00:00
24.0,high,2022-09-27 17:05:26+00:00,2022-09-28 17:05:26+00:00
24.0,high,2022-09-28 17:05:26+00:00,2022-09-29 17:05:26+00:00
24.0,high,2022-09-29 17:05:26+00:00,2022-09-30 17:05:26+00:00
24.0,high,2022-09-30 17:05:26+00:00,2022-10-01 17:05:26+00:00
24.0,high,2022-10-01 17:05:26+00:00,2022-10-02 17:05:26+00:00
24.0,high,2022-10-02 17:05:26+00:00,2022-10-03 17:05:26+00:00
24.0,high,2022-10-03 17:05:26+00:00,2022-10-04 17:05:26+00:00
24.0,high,2022-10-04 17:05:26+00:00,2022-10-05 17:05:26+00:00
24.0,high,2022-10-05 17:05:26+00:00,2022-10-06 17:05:26+00:00
168.0,base,2022-10-06 17:05:26+00:00,2022-10-13 17:05:26+00:00
168.0,base,2022-10-13 17:05:26+00:00,2022-10-20 17:05:26+00:00
336.0,low,2022-10-20 17:05:26+00:00,2022-11-03 17:05:26+00:00
336.0,low,2022-11-03 17:05:26+00:00,2022-11-17 17:05:26+00:00
168.0,base,2022-11-17 17:05:26+00:00,2022-11-24 17:05:26+00:00
24.0,high,2022-11-24 17:05:26+00:00,2022-11-25 17:05:26+00:00
24.0,high,2022-11-25 17:05:26+00:00,2022-11-26 17:05:26+00:00
24.0,high,2022-11-26 17:05:26+00:00,2022-11-27 17:05:26+00:00
24.0,high,2022-11-27 17:05:26+00:00,2022-11-28 17:05:26+00:00
24.0,high,2022-11-28 17:05:26+00:00,2022-11-29 17:05:26+00:00
24.0,high,2022-11-29 17:05:26+00:00,2022-11-30 17:05:26+00:00
24.0,high,2022-11-30 17:05:26+00:00,2022-12-01 17:05:26+00:00
24.0,high,2022-12-01 17:05:26+00:00,2022-12-02 17:05:26+00:00
24.0,high,2022-12-02 17:05:26+00:00,2022-12-03 17:05:26+00:00
168.0,base,2022-12-03 17:05:26+00:00,2022-12-10 17:05:26+00:00
336.0,low,2022-12-10 17:05:26+00:00,2022-12-24 17:05:26+00:00
336.0,low,2022-12-24 17:05:26+00:00,2023-01-07 17:05:26+00:00
336.0,low,2023-01-07 17:05:26+00:00,2023-01-21 17:05:26+00:00
336.0,low,2023-01-21 17:05:26+00:00,2023-02-04 17:05:26+00:00
168.0,base,2023-02-04 17:05:26+00:00,2023-02-11 17:05:26+00:00
336.0,low,2023-02-11 17:05:26+00:00,2023-02-25 17:05:26+00:00
168.0,base,2023-02-25 17:05:26+00:00,2023-03-04 17:05:26+00:00
168.0,base,2023-03-04 17:05:26+00:00,2023-03-11 17:05:26+00:00
168.0,base,2023-03-11 17:05:26+00:00,2023-03-18 17:05:26+00:00
168.0,base,2023-03-18 17:05:26+00:00,2023-03-25 17:05:26+00:00
168.0,base,2023-03-25 17:05:26+00:00,2023-04-01 17:05:26+00:00
168.0,base,2023-04-01 17:05:26+00:00,2023-04-08 17:05:26+00:00
168.0,base,2023-04-08 17:05:26+00:00,2023-04-15 17:05:26+00:00
168.0,base,2023-04-15 17:05:26+00:00,2023-04-22 17:05:26+00:00
336.0,low,2023-04-22 17:05:26+00:00,2023-05-06 17:05:26+00:00
336.0,low,2023-05-06 17:05:26+00:00,2023-05-20 17:05:26+00:00
336.0,low,2023-05-20 17:05:26+00:00,2023-06-03 17:05:26+00:00
336.0,low,2023-06-03 17:05:26+00:00,2023-06-17 17:05:26+00:00
336.0,low,2023-06-17 17:05:26+00:00,2023-07-01 17:05:26+00:00
336.0,low,2023-07-01 17:05:26+00:00,2023-07-15 17:05:26+00:00
336.0,low,2023-07-15 17:05:26+00:00,2023-07-29 17:05:26+00:00
336.0,low,2023-07-29 17:05:26+00:00,2023-08-12 17:05:26+00:00
336.0,low,2023-08-12 17:05:26+00:00,2023-08-26 17:05:26+00:00
336.0,low,2023-08-26 17:05:26+00:00,2023-09-09 17:05:26+00:00
336.0,low,2023-09-09 17:05:26+00:00,2023-09-23 17:05:26+00:00
336.0,low,2023-09-23 17:05:26+00:00,2023-10-07 17:05:26+00:00
336.0,low,2023-10-07 17:05:26+00:00,2023-10-21 17:05:26+00:00
336.0,low,2023-10-21 17:05:26+00:00,2023-11-04 17:05:26+00:00
336.0,low,2023-11-04 17:05:26+00:00,2023-11-18 17:05:26+00:00
336.0,low,2023-11-18 17:05:26+00:00,2023-12-02 17:05:26+00:00
336.0,low,2023-12-02 17:05:26+00:00,2023-12-16 17:05:26+00:00
336.0,low,2023-12-16 17:05:26+00:00,2023-12-30 17:05:26+00:00
336.0,low,2023-12-30 17:05:26+00:00,2024-01-13 17:05:26+00:00
168.0,base,2024-01-13 17:05:26+00:00,2024-01-20 17:05:26+00:00
168.0,base,2024-01-20 17:05:26+00:00,2024-01-27 17:05:26+00:00
24.0,high,2024-01-27 17:05:26+00:00,2024-01-28 17:05:26+00:00
24.0,high,2024-01-28 17:05:26+00:00,2024-01-29 17:05:26+00:00
24.0,high,2024-01-29 17:05:26+00:00,2024-01-30 17:05:26+00:00
24.0,high,2024-01-30 17:05:26+00:00,2024-01-31 17:05:26+00:00
24.0,high,2024-01-31 17:05:26+00:00,2024-02-01 17:05:26+00:00
24.0,high,2024-02-01 17:05:26+00:00,2024-02-02 17:05:26+00:00
24.0,high,2024-02-02 17:05:26+00:00,2024-02-03 17:05:26+00:00
24.0,high,2024-02-03 17:05:26+00:00,2024-02-04 17:05:26+00:00
24.0,high,2024-02-04 17:05:26+00:00,2024-02-05 17:05:26+00:00
168.0,base,2024-02-05 17:05:26+00:00,2024-02-12 17:05:26+00:00
168.0,base,2024-02-12 17:05:26+00:00,2024-02-19 17:05:26+00:00
168.0,base,2024-02-19 17:05:26+00:00,2024-02-26 17:05:26+00:00
336.0,low,2024-02-26 17:05:26+00:00,2024-03-11 17:05:26+00:00
336.0,low,2024-03-11 17:05:26+00:00,2024-03-25 17:05:26+00:00
168.0,base,2024-03-25 17:05:26+00:00,2024-04-01 17:05:26+00:00
24.0,high,2024-04-01 17:05:26+00:00,2024-04-02 17:05:26+00:00
24.0,high,2024-04-02 17:05:26+00:00,2024-04-03 17:05:26+00:00
24.0,high,2024-04-03 17:05:26+00:00,2024-04-04 17:05:26+00:00
24.0,high,2024-04-04 17:05:26+00:00,2024-04-05 17:05:26+00:00
24.0,high,2024-04-05 17:05:26+00:00,2024-04-06 17:05:26+00:00
24.0,high,2024-04-06 17:05:26+00:00,2024-04-07 17:05:26+00:00
24.0,high,2024-04-07 17:05:26+00:00,2024-04-08 17:05:26+00:00
24.0,high,2024-04-08 17:05:26+00:00,2024-04-09 17:05:26+00:00
24.0,high,2024-04-09 17:05:26+00:00,2024-04-10 17:05:26+00:00
24.0,high,2024-04-10 17:05:26+00:00,2024-04-11 17:05:26+00:00
24.0,high,2024-04-11 17:05:26+00:00,2024-04-12 17:05:26+00:00
168.0,base,2024-04-12 17:05:26+00:00,2024-04-19 17:05:26+00:00
168.0,base,2024-04-19 17:05:26+00:00,2024-04-26 17:05:26+00:00
168.0,base,2024-04-26 17:05:26+00:00,2024-05-03 17:05:26+00:00
168.0,base,2024-05-03 17:05:26+00:00,2024-05-10 17:05:26+00:00
24.0,high,2024-05-10 17:05:26+00:00,2024-05-11 17:05:26+00:00
24.0,high,2024-05-11 17:05:26+00:00,2024-05-12 17:05:26+00:00
